Arquivo,Manutenibilidade,Ciclomatico,Sloc_logico,Sloc_fisico,Dificuldade,Esforco,Duracao
app/MainApp.js,90.315,1,3,17,7.273,1149.989,63.888
app/RoutesApp.js,73.994,11,10,22,21.714,16282.88,904.604
app/useMockApp.js,65.396,6,18,28,11.2,6353.116,352.951
components/Example/Example.js,87.096,1,3,8,6,322.647,17.925
components/Example/index.js,100,1,0,3,1,12,0.667
components/FormVisit/FormVisit.js,69.747,21,51,49,37.761,90510.023,5028.335
components/FormVisit/index.js,100,1,0,2,1,4.755,0.264
components/FormVisitFields/FormVisitFields.js,90.941,1,2,33,6.286,2014.794,111.933
components/FormVisitFields/index.js,100,1,0,2,1,4.755,0.264
components/PageLayout/PageLayout.js,71.4,8,10,19,16.5,9571.488,531.749
components/PageLayout/index.js,100,1,0,2,1,4.755,0.264
components/VisitorList/VisitorList.js,77.8,22,39,46,33.217,80846.654,4491.481
components/VisitorList/index.js,100,1,0,2,1,4.755,0.264
helpers/dateFormat.js,83.827,1,9,10,6.107,1243.172,69.065
pages/Home/HomePage.js,87.139,1,3,12,5.4,642.287,35.683
pages/Home/index.js,100,1,0,2,1.5,23.265,1.292
services/httpClient.js,73.235,2,4,9,6.417,870.786,48.377
